Title,Alternative title,Id
Fighting Beauty Wulong,Kakutou Bijin Wulong,31576
Fighting Beauty Wulong Rebirth,,14546
Fighting Foodons,Kakutou Ryouri Densetsu Bistro Recipe,39754
Fire Emblem,,31900
Fire Force,En'en no Shouboutai,17363
Fire Force Season 2,Enen no Shouboutai: Ni no Shou,19313
Fireball Charming,,25592
Firefighter Daigo: Rescuer in Orange,Megumi no Daigo: Kyuukoku no Orange,38552
Fist of the North Star Part 2,Seikimatsu Kyuuseishu Densetsu: Hokuto no Ken 2,18463
FLCL,Furi Kuri,25923
FLCL Progressive,Furi Kuri Progressive,36223
Fluffy Paradise,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,39741
Flying Witch,,26919
Food Wars! Shokugeki no Soma,Shokugeki no Souma,17518
Food Wars! Shokugeki no Soma: The Fourth Plate,Shokugeki no Souma: Shin no Sara,17929
Food Wars! The Fifth Plate,Shokugeki no Souma: Gou no Sara S5,19405
Food Wars! The Second Plate,Shokugeki no Souma: Ni no Sara,30468
Food Wars! The Third Plate,Shokugeki no Souma: San no Sara,14240
Fortune Quest: Yonimo Shiawase na Boukensha-tachi,Fortune Quest OVA,32078
Fractale,,9286
Frame Arms Girl,,8779
Free! - Iwatobi Swim Club,,4032
Free! Eternal Summer,,980
Freezing,,11034
Freezing Vibration,,4196
Frieren: Beyond Journey's End,Sousou no Frieren,38454
Fruits Basket (2001),,29402
Fruits Basket (2019),Fruits Basket 1st Season,24306
Fruits Basket (2019) Season 2,Fruits Basket 2nd Season,24651
Fruits Basket the Final Season,Fruits Basket (2019) Season 3,24681
Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,Kyuukyoku Shinka Shita Full Dive RPG ga Genjitsu Yori mo Kusoge Dattara,21739
Full Metal Panic!,Fullmetal Panic!,23025
Full Metal Panic! Invisible Victory,Fullmetal Panic! Invisible Victory,22345
Full Metal Panic! The Second Raid,Fullmetal Panic! The Second Raid,22997
Full Metal Panic? Fumoffu,Fullmetal Panic? Fumoffu,23012
Fullmetal Alchemist,,39893
Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi (2009),26781
Fuuka,,8537
Fuuto PI,Fuuto Tantei,31314
G-On Riders,,11623
Ga-Rei-Zero,,9079
Gabriel Dropout,,30545
Gad Guard,,27658
Gakuen Alice,,22646
Gal & Dino,Gal to Kyouryuu,26383
Gamba no Bouken,,30712
Gamers!,,10048
Gangsta.,,7733
Gantz,,14794
Garo -Vanishing Line-,,12843
Garo the Animation,Garo: Honoo no Kokuin,33279
Gatchaman,Kagaku Ninjatai Gatchaman,28791
Gatchaman Crowds,,135
Gate,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",28361
Geobreeders: (File-X) Get Back The Kitty,Geobreeders: File-X Chibi Neko Dakkan,35167
Geobreeders: Breakthrough,Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa,35171
Getter Robo Arc,,24874
Ghastly Prince Enma Burning Up,Dororon Enma-kun: Meeramera,20789
Ghost in the Shell Arise,,66
Ghost In The Shell: SAC_2045,Koukaku Kidoutai: SAC_2045,18875
Ghost in the Shell: SAC_2045 Season 2,Koukaku Kidoutai: SAC_2045 (2022),30487
Ghost in the Shell: Stand Alone Complex,Koukaku Kidoutai Stand Alone Complex,33734
Ghost in the Shell: Stand Alone Complex 2nd GIG,Koukaku Kidoutai S.A.C. 2nd GIG,33805
Ghost Stories,Gakkou no Kaidan,19988
Ghost Sweeper Mikami,,16895
Giant Beasts of Ars,Ars no Kyojuu,34922
Giant Robo,,14912
Gibiate,,19573
Gintama,,26512
Girl Friend BETA,Girl Friend (Kari),1223
"Girlfriend, Girlfriend",Kanojo mo Kanojo,23142
"Girlfriend, Girlfriend Season 2",Kanojo mo Kanojo Season 2,38392
Girlish Number,,7766
Girls und Panzer,,27148
Girls' Frontline,Dolls` Frontline,28353
Given,,28387
GJ-bu,,28719
Glasslip,,942
Gleipnir,,19055
Goblin Slayer,,15124
Goblin Slayer II,Goblin Slayer 2nd Season,38340
God Eater,,2473
Godannar,Shinkon Gattai Godannar!!,10495
Gods' Game We Play,Kami wa Game ni Ueteiru.,40773
Godzilla Singular Point,Godzilla: S.P,23228
Gokujo. Gokurakuin Joshikou Ryou Monogatari,,18209
Golden Boy,,25156
Golden Kamuy,,26276
Gonna Be The Twin-Tail,"Ore, Twintail ni Narimasu",1373
Good Luck! Ninomiya-kun,Goshuushou-sama Ninomiya-kun,11840
Good Night World,,38317
Gosick,,5769
Gourmet Girl Graffiti,Koufuku Graffiti,21800
Granbelm,,17452
Granblue Fantasy the Animation,,9572
Granblue Fantasy the Animation S2,,18086
Grand Blue,,35380
Grandpa and Grandma Turn Young Again,Jiisan Baasan Wakagaeru,41302
Gravion,Choujuushin Gravion,23445
Gravion,Choujuushin Gravion,11680
Gravion Zwei,Choujuushin Gravion Zwei,23486
Gravion Zwei,,11746
Great Pretender,,19714
Greed,,31925
Green Green,,11511
Grenadier,,16136
Grimgar of Fantasy and Ash,Hai to Gensou no Grimgar,3945
Grimoire of Zero,Zero kara Hajimeru Mahou no Sho,8793
Ground Control to Psychoelectric Girl,Denpa Onna to Seishun Otoko,6847
Gude Crest: The Emblem of Gude,Onna Senshi Efe & Jira: Gude no Monshou,31741
Guilty Crown,,169
Gun X Sword,,35565
Gunbuster,Top o Nerae! Gunbuster,22209
Gunbuster 2,Top wo Nerae 2! Diebuster,39469
Gundam Build Divers,,19171
Gundam Reconguista in G,,6498
Gundam-W: Endless Walt,Gundam Wing Endless Waltz OVA,24660
Gungrave,,35444
Gunslinger Girl,,39945
Gunslinger Girl: Il Teatrino,Gunslinger Girl 2nd Season,39987
Gunslinger Stratos: The Animation,,17632
Gurren Lagann,Tengen Toppa Gurren Lagann,26047
Gushing over Magical Girls,Mahou Shoujo ni Akogarete,39620
Guyver: The Bioboosted Armor,Kyoushoku Soukou Guyver (2005),27549
Hacka Doll: the Animation,Hackadoll the Animation,3070
Haganai: I don't have many friends,Boku wa Tomodachi ga Sukunai,27163
Haganai: I don't have many friends NEXT,Boku wa Tomodachi ga Sukunai NEXT,6834
Haibane Renmei,,6679
Haikyu!!,,3497
Haikyu!! 2nd Season,Haikyuu!! Second Season,22070
Haikyu!! Karasuno High School vs Shiratorizawa Academy,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,22096
Haikyu!! To the Top,Haikyuu!! To the Top,22107
Hanamaru Kindergarten,Hanamaru Youchien,16868
Hanamonogatari: Suruga Devil,,29113
Hanaukyo Maid-tai,,14859
Hanayamata,,28706
Hand Shakers,,8576
Handa-kun,,14920
Handyman Saitou in Another World,"Benriya Saitou-san, Isekai ni Iku",34899
Happiness Charge Precure,,1499
Happy Sugar Life,,15012
Harem in the Labyrinth of Another World,Isekai Meikyuu de Harem o,31028
Haruka Naru Toki no Naka de 2: Shiroki Ryuu no Miko,,31911
Harukana Receive,,14999
Hatena Illusion,,18700
Haven't You Heard? I'm Sakamoto,Sakamoto Desu ga?,5263
Hayate the Combat Butler,Hayate no Gotoku!,35232
Hayate the Combat Butler! Cuties,Hayate no Gotoku! Cuties,11337
Hayate the Combat Butler: 2nd Season,Hayate no Gotoku!!,36013
Hayate the Combat Butler: Can't Take My Eyes Off You,Hayate no Gotoku! Can't Take My Eyes Off You,28750
He Is My Master,Kore ga Watashi no Goshujin-sama,25160
Healer Girl,,34763
Healin' Good Pretty Cure,Healin' Good Precure,25347
Heaven Official's Blessing Season 2,Tian Guan Cifu Er,39109
Heaven's Lost Property: Forte,Sora no Otoshimono Forte,30014
Heaven's Memo Pad,Kamisama no Memochu,2635
Heavenly Delusion,Tengoku Daimakyou,37283
Heaven’s Lost Property the Movie,Sora no Otoshimono,1495
Heavy Object,,27785
Helck,,37419
Hell Girl,Jigoku Shoujo,22043
Hell Girl: Fourth Twilight,Jigoku Shoujo: Yoi no Togi,21953
Hell Girl: Three Vessels,Jigoku Shoujo Mitsuganae,21989
Hell Girl: Two Mirrors,Jigoku Shoujo Futakomori,22016
Hell's Paradise,Jigokuraku,36043
Hellsing,,15709
Hellsing Ultimate,,11807
"Hensuki: Are You Willing to Fall in Love With a Pervert, As Long As She`s a Cutie?",Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,17287
Hero Mask,,26008
Heroman,,8958
Heybot!,,17017
Hi Scoool! Seha Girl,,19210
Hi Score Girl,High Score Girl,23591
Hi-Speed Jecy,High Speed Jessie,31745
Hidamari Sketch x 365,,36550
Hidamari Sketch: Sae Hiro Sotsugyou Hen,,36505
"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",,21681
High Card,,34936
High School DxD BorN,,4334
High School DxD Hero,,14200
High School DxD New,,4347
High School Fleet,Haifuri,4484
High School Prodigies Have It Easy Even In Another World,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku You Desu!,17955
High-Rise Invasion,Tenkuu Shinpan,19922
Highschool DxD,,312
Highschool Of The Dead,,235
Highschool of the Dead: Drifters of the Dead (2011),,21633
Highspeed Etoile,,40765
Higurashi: When They Cry Gou,Higurashi no Naku Koro ni Gou,23913
Higurashi: When They Cry Sotsu,Higurashi no Naku Koro ni Sotsu,24804
Hikari no Densetsu,Legend of Light,40886
Himegoto,Secret Princess Himegoto,28795
Himouto! Umaru-chan,,2978
Himouto! Umaru-chan R,,13275
Hina Logic - from Luck & Logic,,10070
Hinako Note,,13405
Hinamatsuri,,14187
Hokkaido Gals Are Super Adorable!,Dosanko Gal wa Namara Menkoi,39594
Holy Knight,,41042
Horimiya,,20982
Horimiya: The Missing Pieces,Horimiya: Piece,37634
Horizon in the Middle of Nowhere,Kyoukaisen-jou no Horizon,35285
Horizon in the Middle of Nowhere II,Kyoukaisen-jou no Horizon II,35304
Hortensia Saga,,20620
Housing Complex C,C Danchi,33724
How a Realist Hero Rebuilt the Kingdom,Genjitsu Shugi Yuusha no Oukoku Saikenki,24186
How Heavy Are the Dumbbells You Lift?,Dumbbell Nan Kilo Moteru?,17606
How NOT to Summon a Demon Lord,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,14471
How Not to Summon a Demon Lord Omega (Double Summon Version),Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega (Double Summon),22438
How Not to Summon a Demon Lord Ω,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega,21675
How to Keep a Mummy,Miira no Kaikata,31090
Humanity Has Declined,Jinrui wa Suitai Shimashita,25334
Hundred,,4361
Hunter x Hunter (2011),,6124
Hurricane Polymar: Holy Blood,Shin Hurricane Polymar,39477
Hyakka Ryouran: Samurai Bride,,5807
Hyakka Ryouran: Samurai Girls,,11921
Hybrid x Heart Magias Academy Ataraxia,Masou Gakuen HxH,6085
Hyouka,,6565
Hyperdimension Neptunia - The Animation,Choujigen Game Neptune The Animation,13737
Hypnosis Mic: Division Rap Battle - Rhyme Anima +,HYPNOSISMIC -Division Rap Battle- Rhyme Anima PLUS,40582
Hypnosismic: Division Rap Battle - Rhyme Anima Plus,Hypnosis Mic: Division Rap Battle - Rhyme Anima +,38575
I Can't Undertand What My Husband Is Saying,Danna ga Nani o Itteiru ka Wakaranai Ken,1340
I Dream of Mimi,Buttobi!! CPU,24461
"I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too","Isekai de Cheat Skill o Te ni Shita Ore wa, Genjitsu Sekai o mo Musou Suru: Level Up wa Jinsei o Kaeta",36036
I Shall Survive Using Potions!,Potion-danomi de Ikinobimasu!,38537
I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",40782
I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",38630
I'm in Love with the Villainess,Watashi no Oshi wa Akuyaku Reijou.,38655
I'm Quitting Heroing,"Yuusha, Yamemasu",29557
I'm Standing on a Million Lives,100-man no Inochi no Ue ni Ore wa Tatte Iru,19792
"I'm the Villainess, So I'm Taming the Final Boss",Akuyaku Reijou nano de Last Boss o Katte Mimashita,33108
I've Been Killing Slimes for 300 Years and Maxed Out My Level,,21690
I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,Noumin Kanren no Skill Bakka Agetetara Naze ka Tsuyoku Natta.,33148
Id: Invaded,,18732
Idol Incidents,Idol Jihen,13692
Idolls!,Idolls! Idol Survival,29952
Idolmaster Cinderella Girls,IDOLM@STER Cinderella Girls,1844
Idoly Pride,,36429
If Her Flag Breaks,Kanojo ga Flag o Oraretara,28816
If I See You in My Dreams,Yume de Aetara,18523
Ikki Tousen,Ikkitousen,9134
Ikki Tousen: Dragon Destiny,Ikkitousen: Dragon Destiny,9121
Ikki Tousen: Great Guardians,Ikkitousen: Great Guardians,9148
Ikki Tousen: Xtreme Xecutor,Ikkitousen: Xtreme Xecutor,9161
il sole penetra le illusioni ~ Day Break Illusion,Genei o Kakeru Taiyou,16788
Immoral Guild,Futoku no Guild,33205
In Another World with My Smartphone,Isekai wa Smartphone to Tomo ni.,27999
In Another World with My Smartphone 2,Isekai wa Smartphone to Tomo ni. 2,36052
In Search of the Lost Future,Ushinawareta Mirai o Motomete,1552
In the Heart of Kunoichi Tsubaki,Kunoichi Tsubaki no Mune no Uchi,29475
In the Land of Leadale,Leadale no Daichi nite,28517
In/Spectre,Kyokou Suiri,34874
Inferious Interplanetary War Chronicle Condition Green,Inferious Wakusei Senshi Gaiden Condition Green,31650
Infinite Dendrogram,,18810
Infinite Ryvius,Mugen no Ryvius,23459
Initial D Fifth Stage,Initial D: Fifth Stage,40596
Initial D: Extra Stage,,21644
Initial D: First Stage,Initial D First Stage,36878
Initial D: Fourth Stage,Initial D Fourth Stage,37021
Initial D: Second Stage,Initial D Second Stage,36914
Insomniacs After School,Kimi wa Houkago Insomnia,37075
Interviews with Monster Girls,Demi-chan wa Kataritai,8416
Inugami-san to Nekoyama-san,,30904
Inukami!,,35333
Inuyasha,,15940
InuYasha: The Final Act,,11047
Inuyashiki Last Hero,,14755
Ippon! Again,Mou Ippon!,34951
Ipponbouchou Mantarou,Ippon Bouchou Mantarou,31789
Iria: Zeiram The Animation,,39827
Irina: The Vampire Cosmonaut,Tsuki to Laika to Nosferatu,27749
Iroduku: The World in Colors,Irozuku Sekai no Ashita kara,33252
Iron Man,,41392
Irresponsible Captain Tylor OVA,Musekinin Kanchou Tylor OVA,34397
Is It Wrong to Try to Pick Up Girls in a Dungeon?,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth,29999
Is It Wrong to Try to Pick Up Girls in a Dungeon? II,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth II,17195
Is It Wrong to Try to Pick Up Girls in a Dungeon? III,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth III,19765
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka: Familia Myth IV,31072
Is the Order a Rabbit?,Gochuumon wa Usagi Desuka?,19197
Is the Order a Rabbit? Bloom,Gochuumon wa Usagi Desuka? Bloom,26213
Is the Order a Rabbit??,Gochuumon wa Usagi Desu ka 2nd,3184
Is This a Zombie?,Kore wa Zombie Desuka?,22295
IS: Infinite Stratos,,27217
IS: Infinite Stratos 2,,27204
Isekai Quartet,,17659
Ishuzoku Reviewers,,18674
Island,,15025
Iwakakeru: Sport Climbing Girls,Iwa Kakeru! Sport Climbing Girls,26186
Ixion Saga: Dimension Transfer,Ixion Saga DT,25969
Izumo,,31792
I’m Standing on a Million Lives Season 2,100-man no Inochi no Ue ni Ore wa Tatte Iru (2021),24962
Jellyfish Can't Swim in the Night,Yoru no Kurage wa Oyogenai,40849
Jigoku Sensei Nube,,24986
Jinsei,,751
JoJo's Bizarre Adventure: Stardust Crusaders,JoJo no Kimyou na Bouken: Stardust Crusaders,4156
JoJo's Bizarre Adventure: Stardust Crusaders - Battle In Egypt,JoJo no Kimyou na Bouken: Stardust Crusaders (2015),4497
JoJo's Bizarre Adventure: Stone Ocean,JoJo no Kimyou na Bouken: Stone Ocean,27599
Joker,Kaitou Joker,28777
Joran: The Princess of Snow and Blood,Jouran: The Princess of Snow and Blood,24468
Jormungand,,21210
Jormungand: Perfect Order,,21223
Juden Chan,Fight Ippatsu! Jūden-chan!!,13817
Jujutsu Kaisen,,20460
Juni Taisen: Zodiac War,Juuni Taisen,13313
Just Because!,,14122
K-On!,,26850
K-On!!,K-On!! Season 2,672
Kabaneri of the Iron Fortress,Kotetsujo no Kabaneri,4256
Kageki Shojo!!,,24265
Kageyama Tamio no Double Fantasy,,31795
Kaguya-sama Love is War Season 2,Kaguya-sama wa Kokurasetai? Tensai-tachi no Ren'ai Zunousen,29324
Kaguya-sama: Love is War,Kaguya-sama wa Kokurasetai,16735
Kaguya-sama: Love Is War - Ultra Romantic,Kaguya-sama wa Kokurasetai: Ultra Romantic,29939
Kaiba,,25943
Kaiji: Ultimate Survivor,Gyakkyou Burai Kaiji: Ultimate Survivor,29057
Kaiju No. 8,Kaijuu 8-gou,40911
Kaina of the Great Snow Sea,Ooyuki Umi no Kaina,34928
Kakegurui,,15419
Kakegurui Twin,,31135
Kakegurui XX,,26101
Kakuriyo -Bed & Breakfast for Spirits-,Kakuriyo no Yadomeshi,15269
Kaleido Star,,38476
Kamen no Maid Guy,,12704
KamiErabi GOD.app,Kamierabi,38612
Kamigami no Asobi,,28732
KamiKatsu: Working for God in a Godless World,Kaminaki Sekai no Kamisama Katsudou,36073
Kamisama Dolls,,37521
Kamisama Kiss,Kamisama Hajimemashita,30627
Kamisama Kiss 2,Kamisama Hajimemashita 2,30605
KanColle,Kantai Collection: KanColle,30363
KanColle Season 2: Let's Meet at Sea,KanColle: Itsuka Ano Umi de,34353
Kandagawa Jet Girls,,17866
Kannagi: Crazy Shrine Maidens,,6693
Kanokon: The Girl Who Cried Fox,,10368
Kanon,,5238
Karakuri Circus,,17766
Karen Senki,,28855
Karneval,,30180
Kasei Yakyoku,,31524
Katana Maidens: Toji no Miko,,14267
Katana Maidens: Tomoshibi,Toji no Miko: Kizamishi Issen no Tomoshibi,20905
Katanagatari,,19975
Katsugeki: Touken Ranbu,,14933
Katte ni Kaizou,,41284
Kawagoe Boys Sing,Kawagoe Boys Sing: Now or Never,38813
Keep Your Hands Off Eizouken!,Eizouken ni wa Te o Dasuna!,18965
Keijo!!!!!!!!,,7022
Kemeko Deluxe!,,5820
Kemono Friends,,8455
Kemono Jihen,,20375
Kemono Michi: Rise Up,,17903
Kemurikusa,,16708
Kenichi the Mightiest Disciple,,15763
Kenka Banchou Otome: Girl Beats Boys,,24922
Kill la Kill,,26075
Kill Me Baby,,7844
Killing Bites,,14742
Kimagure Orange Road,,23993
Kimi ni Todoke - From Me to You,,5289
KING'S RAID: Successors of the Will,King's Raid: Ishi o Tsugu Mono-tachi,20511
Kinmoza!,Kiniro Mosaic,29042
Kino's Journey: The Beautiful World,Kino no Tabi: The Beautiful World,29145
Kino's Journey: The Beautiful World - The Animated Series,Kino no Tabi: The Beautiful World - The Animated Series,26499
Kiss X Sis,,563
Kite,A Kite,39474
Kiznaiver,,4228
Kizuna no Allele,,36180
Knight's & Magic,,10058
Kodomo no Jikan,,12663
Koe de Oshigoto!,,12131
Koikimo,Koi to Yobu ni wa Kimochi Warui,21707
Koiko no Mainichi,,31585
Kokkoku,,14663
Kokoro Connect,,22216
Komi Can't Communicate,"Komi-san wa, Komyushou Desu.",26114
Komori-san Can't Decline!,Komori-san wa Kotowarenai!,29055
Kono Oto Tomare! Sounds of Life,Kono Oto Tomare!,36196
Konohana Kitan,,13458
Konosuba: An Explosion on this Wonderful World!,Kono Subarashii Sekai ni Bakuen o!,36071
Konosuba: God's Blessing on This Wonderful World!,Kono Subarashii Sekai ni Shukufuku o!,30503
Konosuba: God's Blessing on This Wonderful World! 2,Kono Subarashii Sekai ni Shukufuku o! 2,30509
KonoSuba: God's Blessing on This Wonderful World! 3,Kono Subarashii Sekai ni Shukufuku wo! 3,40811
Kotaro Lives Alone,Kotarou wa Hitorigurashi,28580
Kubo Won't Let Me Be Invisible,Kubo-san wa Mob o Yurusanai,34893
Kuma Kuma Kuma Bear,,19805
Kuma Kuma Kuma Bear Punch!,,36054
Kuroko's Basketball Season 3,Kuroko no Basket 3rd Season,2258
Kuromukuro,,6525
La Storia della Arcana Famiglia,Arcana Famiglia: La Storia della Arcana Famiglia,33352
Ladies versus Butlers!,,4917
Ladyspo,,16941
Laid-Back Camp,Yuru Camp,34561
Laid-Back Camp Season 2,Yuru Camp Season 2,34575
Laid-Back Camp Season 3,Yuru Camp Season 3,40823
Lance N' Masques,,29096
Land of the Lustrous,Houseki no Kuni,13340
Last Exile,,11350
"Last Exile: Fam, The Silver Wing",Last Exile: Gin'yoku no Fam,14835
Last Period: The Journey to the End of the Despair,Last Period: Owarinaki Rasen no Monogatari,35186
Laughing Salesman,Warau Salesman,32100
LBX Girls,Soukou Musume Senki,20607
League of Nations Air Force Aviation Magic Band Luminous Witches,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches,30949
Legend of Crystania,,39239
Legend of Mana: The Teardrop Crystal,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,33963
Level 1 Demon Lord and One Room Hero,Lv1 Maou to One Room Yuusha,37337
Liar Liar,,37413
Libra of Nil Admirari,Nil Admirari no Tenbin,19134
Life Lessons with Uramichi Oniisan,Uramichi Onii-san,24833
Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout,Fantasy Bishoujo Juniku Ojisan to,28528
Lime-Colored History of War,"Lime-iro Senkitan: Meiji Nippon, Otome Sakimorisu.",14479
Linebarrels of Iron,Kurogane no Linebarrels,29685
Link Click,Shiguang Dailiren,33232
Link Click Season 2,Shiguang Dailiren II,37452
"Listen to Me, Girls. I Am Your Father!",Papa no Iu Koto o Kikinasai!,35324
Little Busters!,,37
Little Busters! Refrain,,13240
Little Witch Academia,,9508
Log Horizon,,192
Log Horizon 2,Log Horizon (2014),28166
Log Horizon: Destruction of the Round Table,Log Horizon: Entaku Houkai,28144
Long Riders!,,11600
Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note,Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note,25247
Lord Marksman and Vanadis,Madan no Ou to Vanadis,8377
Lost Universe,,18236
Lostorage incited WIXOSS,,9330
Love After World Domination,Koi wa Sekai Seifuku no Ato de,29569
Love Flops,Renai Flops,33207
Love Hina,,18332
Love Lab,,33365
Love Live! School idol project,,4835
Love Live! Sunshine!!,,25776
Love Live! Sunshine!! Season 2,Love Live! Sunshine!! (2017),25787
Love Live! Superstar!! 2nd Season,Love Live! Superstar!! (2022),31171
Love of Kill,Koroshi A,28472
Love Stage!!,,2569
Love To-LIE-Angle,Tachibana-kan to Lie Angle - Tachibanakan Triangle,18223
Love Tyrant,Renai Boukun,9273
"Love, Chunibyo & Other Delusions!",Chuunibyou demo Koi ga Shitai,1096
"Love, Chunibyo & Other Delusions! -Heart Throb-",Chunibyo demo Koi ga Shitai! Ren,5892
Lucifer and the Biscuit Hammer,Hoshi no Samidare,31059
Lucky Star,,11896
Lupin the 3rd Part 4,Lupin Sansei (2015),33392
Lupin the Third TV,,28236
Lupin Zero,,36419
Lycoris Recoil,,31007
M3 the dark metal,M3: Sono Kuroki Hagane,13765
Macross Delta,,6298
Macross Plus,,25636
Made in Abyss,,13418
Made in Abyss: The Golden City of the Scorching Sun,Made in Abyss: Retsujitsu no Ougonkyou,31257
Maesetsu! Opening Act,,26407
Magi: Adventure of Sinbad,,4822
Magi: Kingdom of Magic,,1974
Magi: The Labyrinth of Magic,,33446
Magia Record: Puella Magi Madoka Magica Side Story,Magia Record: Mahou Shoujo Madoka Magica Gaiden,18848
Magia Record: Puella Magi Madoka Magica Side Story 2nd Season - The Eve of Awakening,Magia Record: Mahou Shoujo Madoka Magica Gaiden 2nd Season - Kakusei Zen'ya,24404
Magic-kyun! Renaissance,,12777
Magica Wars,Mahou Shoujo Taisen,33419
Magical Destroyers,Mahou Shoujo Magical Destroyers,36107
Magical Girl Lyrical Nanoha ViVid,Mahou Shoujo Lyrical Nanoha Vivid,1671
Magical Girl Raising Project,Mahou Shoujo Ikusei Keikaku,7009
Magical Girl Site,Mahou Shoujo Site,14214
Magical Sempai,Tejina Senpai,17479
Magical Shopping Arcade Abenobashi,Abenobashi Mahou Shoutengai,27577
